publisher,dagger,book_review_link,author,primary_isbn10,price,primary_isbn13,sunday_review_link,contributor,date,title,weeks_on_list,num_words_in_title
New American Library,0,,J R Ward,None,0,9.78E+12,,by J. R. Ward,8/14/16,THE ANGELS' SHARE,1,3
St. Martin's,0,,Iris Johansen,1466887214,0,9.78E+12,,by Iris Johansen,8/7/16,NIGHT AND DAY,1,3
Waterhouse,0,,Helen Hardt,None,0,A00B01EGIKZVU,,by Helen Hardt,8/7/16,OBSESSION,1,1
Grand Central,0,,Nicholas Sparks,759527881,0,9.78E+12,,by Nicholas Sparks,7/31/16,THE GUARDIAN,1,1
Minotaur,0,,Linda Castillo,1466867272,0,9.78E+12,,by Linda Castillo,7/31/16,AMONG THE WICKED,1,3
HQN,0,,Susan Mallery,1460394356,0,9.78E+12,,by Susan Mallery,7/31/16,DAUGHTERS OF THE BRIDE,1,4
Kendall Ryan,0,,Kendall Ryan,None,0,A00B01GNLNGZU,,by Kendall Ryan,7/24/16,HITCHED,1,1
BookShots,0,,James Patterson and Emily Raymond,316276405,0,9.78E+12,,by James Patterson and Emily Raymond,7/24/16,LITTLE BLACK DRESS,1,3
Jove,0,,Christine Feehan,None,0,9.78E+12,,by Christine Feehan,7/17/16,SHADOW RIDER,1,1
Bantam,0,,Janet Evanovich and Lee Goldberg,553392786,0,9.78E+12,,by Janet Evanovich and Lee Goldberg,7/10/16,THE PURSUIT,1,1
Putnam,0,,Stuart Woods,None,0,9.78E+12,,by Stuart Woods,6/26/16,DISHONORABLE INTENTIONS,1,1
Grand Central,0,,Brad Meltzer and Tod Goldberg,1455559504,0,9.78E+12,,by Brad Meltzer and Tod Goldberg,6/26/16,THE HOUSE OF SECRETS,1,4
Random House,0,https://www.nytimes.com/2016/06/05/books/review/alan-fursts-a-hero-of-france.html,Alan Furst,081299650X,0,9.78E+12,,by Alan Furst,6/19/16,A HERO OF FRANCE,1,4
Zebra,0,,Kat Martin,1420139037,0,9.78E+12,,by Kat Martin,6/19/16,INTO THE WHIRLWIND,1,3
Mira,0,,Heather Graham,1459294149,0,9.78E+12,,by Heather Graham,6/12/16,HAUNTED DESTINY,1,1
Aurora Rose Reynolds,0,,Aurora Rose Reynolds,None,0,A00B01CF9YVSA,,by Aurora Rose Reynolds,6/12/16,UNTIL JUNE,1,1
Pocket Books,0,,Laura Griffin,1476779287,0,9.78E+12,,by Laura Griffin,6/12/16,DEEP DARK,1,1
Grand Central,0,,Douglas Preston and Lincoln Child,145552588X,0,9.78E+12,,by Douglas Preston and Lincoln Child,6/5/16,BEYOND THE ICE LIMIT,1,4
Denise Grover Swank,0,,Denise Grover Swank,1939996392,0,9.78E+12,,by Denise Grover Swank,6/5/16,THIRTY-SIX AND A HALF MOTIVES,1,6
Berkley,0,,Jane Green,None,0,9.78E+12,,by Jane Green,6/5/16,THE BEACH HOUSE,1,3
Viking,0,,Craig Johnson,None,0,9.78E+12,,by Craig Johnson,6/5/16,THE HIGHWAYMAN,1,1
Morrow,0,,Linda Howard,62419005,0,9.78E+12,,by Linda Howard,5/29/16,TROUBLEMAKER,1,1
Mira,0,,Debbie Macomber,1459254821,0,9.78E+12,,by Debbie Macomber,5/29/16,16 LIGHTHOUSE ROAD,1,3
Del Rey,0,,Claudia Gray,345511360,0,9.78E+12,,by Claudia Gray,5/22/16,STAR WARS: BLOODLINE,1,3
Signet,0,,Mary Balogh,698411323,0,9.78E+12,,by Mary Balogh,5/22/16,ONLY BELOVED,1,1
Putnam,0,,Ace Atkins,None,0,9.78E+12,,by Ace Atkins,5/22/16,ROBERT B. PARKER'S SLOW BURN,1,6
Berkley,0,,Maya Banks,None,0,9.78E+12,,by Maya Banks,5/22/16,DOMINATED,1,1
Jove,0,,Christine Feehan,698197755,0,9.78E+12,,by Christine Feehan,5/15/16,FIRE BOUND,1,1
HQN,0,,Susan Mallery,1459293894,0,9.78E+12,,by Susan Mallery,5/15/16,BEST OF MY LOVE,1,4
St. Martin's Press,0,,Iris Johansen,1466887206,0,9.78E+12,,by Iris Johansen,5/15/16,HIDE AWAY,1,1
Berkley,0,,Marie Force,,0,9.78E+12,,by Marie Force,5/15/16,AIN'T SHE SWEET,1,4
Kristen Ashley,0,,Kristen Ashley,None,0,9.78E+12,,by Kristen Ashley,5/8/16,BOUNTY,1,1
Jove,0,,Nora Roberts,None,0,9.78E+12,,by Nora Roberts,5/8/16,JEWELS OF THE SUN,1,4
St. Martin's Griffin,0,,Kylie Scott,1250083273,0,9.78E+12,,by Kylie Scott,5/8/16,DIRTY,1,1
Morrow/HarperCollins,0,,Gilly Macmillan,None,0,9.78E+12,,by Gilly Macmillan,5/8/16,WHAT SHE KNEW,1,3
Berkley,0,,Amanda Quick,069819361X,0,9.78E+12,,by Amanda Quick,5/8/16,'TIL DEATH DO US PART,1,6
St. Martin's,0,,Lisa Scottoline,1250088127,0,9.78E+12,,by Lisa Scottoline,5/1/16,MOST WANTED,1,1
Oak Press,0,,Bella Andre,1938127897,0,9.78E+12,,by Bella Andre,5/1/16,NOW THAT I'VE FOUND YOU,1,6
Valkyrie Press,0,,Kresley Cole,997215100,0,9.78E+12,,by Kresley Cole,5/1/16,THE PLAYER,1,1
Morrow/HarperCollins,0,,Kristen Pro,62434772,0,9.78E+12,,by Kristen Proby,5/1/16,LISTEN TO ME,1,3
New American Library,0,,J R Ward,None,0,9.78E+12,,by J. R. Ward,4/24/16,THE BEAST,1,1
Dell,0,,Diana Gabaldon,1101882522,0,9.78E+12,,by Diana Gabaldon,4/24/16,VIRGINS,1,1
Morrow/HarperCollins,0,,Bryan Reardon,62339532,0,9.78E+12,,by Bryan Reardon,4/24/16,FINDING JAKE,1,1
Harlequin,0,,Ron Carr,1459292472,0,9.78E+12,,by Robyn Carr,4/24/16,WHAT WE FIND,1,3
Harper/HarperCollins,0,,Jacqueline Winspear,62220624,0,9.78E+12,,by Jacqueline Winspear,4/17/16,JOURNEY TO MUNICH,1,3
HQN,0,,Linda Lael Miller,1459292529,0,9.78E+12,,by Linda Lael Miller,4/17/16,ONCE A RANCHER,1,3
Grand Central,0,,Jill Shalvis,145558679X,0,9.78E+12,,by Jill Shalvis,4/17/16,NOBODY BUT YOU,1,3
HarperCollins,0,,Lisa Scottoline,61797766,0,9.78E+12,,by Lisa Scottoline,4/17/16,DADDY'S GIRL,1,3
Tijan,0,,Tijan,None,0,A00B01DIE5R3Y,,by Tijan,4/17/16,LOGAN KADE,1,1
Howard Books,0,,Karen Kingsbury,1451687540,0,9.78E+12,,by Karen Kingsbury,4/17/16,A BRUSH OF WINGS,1,4
Random House,0,https://www.nytimes.com/2016/04/03/books/review/the-summer-before-the-war-by-helen-simonson.html,Helen Simonson,679644644,0,9.78E+12,,by Helen Simonson,4/10/16,THE SUMMER BEFORE THE WAR,1,5
Grand Central,0,,Nicholas Sparks,759507910,0,9.78E+12,,by Nicholas Sparks,4/10/16,THE WEDDING,1,1
Berkley,0,,J D Robb,1101987995,0,9.78E+12,,by J. D. Robb,1/29/17,APPRENTICE IN DEATH,0,3
Dial Press,0,,Mary Ann Shaffer and Annie Barrows,440337976,0,9.78E+12,,by Mary Ann Shaffer and Annie Barrows,1/29/17,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,0,8
Random House,0,,Debbie Macomber,553391860,0,9.78E+12,,by Debbie Macomber,1/29/17,SWEET TOMORROWS,0,1
"Little, Brown",0,,James Patterson and David Ellis,1455589918,0,9.78E+12,,by James Patterson and David Ellis,1/29/17,THE MURDER HOUSE,0,3
Doubleday,0,,Chris Bohjalian,385538928,0,9.78E+12,,by Chris Bohjalian,1/29/17,THE SLEEPWALKER,0,1
Penguin,0,,Jojo Moyes,None,0,9.78E+12,,by Jojo Moyes,1/22/17,SILVER BAY,0,1
Putnam,0,,Mark Greaney,None,0,9.78E+12,,by Mark Greaney,1/22/17,TOM CLANCY TRUE FAITH AND ALLEGIANCE,0,6
HQN,0,,Diana Palmer,373789947,0,9.78E+12,,by Diana Palmer,1/15/17,WYOMING BRAVE,0,1
Crown/Archetype,0,https://www.nytimes.com/2016/07/31/books/review/dark-matter-blake-crouch.html,Blake Crouch,1101904232,0,9.78E+12,,by Blake Crouch,1/15/17,DARK MATTER,0,1
St. Martin's,0,,Kristin Hannah,1466850604,0,9.78E+12,,by Kristin Hannah,1/15/17,THE NIGHTINGALE,0,1
Delacorte,0,,Lee Child,080417881X,0,9.78E+12,,by Lee Child,1/15/17,NIGHT SCHOOL,0,1
Aurora Rose Reynolds,0,,Aurora Rose Reynolds,None,0,A00B01LYEOR3I,,by Aurora Rose Reynolds,1/15/17,UNTIL ASHLYN,0,1
Ilona Andrews,0,,Ilona Andrews,1943772711,0,9.78E+12,,by Ilona Andrews,1/8/17,ONE FELL SWEEP,0,3
Scribner,0,,Anthony Doerr,1476746583,0,9.78E+12,https://www.nytimes.com/2014/05/11/books/review/all-the-light-we-cannot-see-by-anthony-doerr.html,by Anthony Doerr,1/8/17,ALL THE LIGHT WE CANNOT SEE,0,6
"Little, Brown",0,,Stephenie Meyer,316387835,0,9.78E+12,,by Stephenie Meyer,1/1/17,THE CHEMIST,0,1
HTJB,0,,Marie Force,1946136034,0,9.78E+12,,by Marie Force,1/1/17,LIGHT AFTER DARK,0,3
Harper/HarperCollins,0,https://www.nytimes.com/2016/11/20/books/review/michael-chabon-moonglow.html,Michael Chabon,62225553,0,9.78E+12,,by Michael Chabon,1/1/17,MOONGLOW,0,1
Orbit,0,,James S A Corey,316217638,0,9.78E+12,,by James S. A. Corey,12/25/16,BABYLON'S ASHES,0,3
"Little, Brown",0,,James Patterson with Richard DiLallo,316319996,0,9.78E+12,,by James Patterson with Richard DiLallo,12/25/16,THE CHRISTMAS MYSTERY,0,3
Morrow/HarperCollins,0,,Christina Baker Kline,,0,9.78E+12,,by Christina Baker Kline,12/18/16,ORPHAN TRAIN,0,1
Berkley,0,,Jayne Ann Krentz,None,0,9.78E+12,,by Jayne Ann Krentz,12/18/16,WHEN ALL THE GIRLS HAVE GONE,0,6
Putnam,0,,Clive Cussler and Dirk Cussler,399575510,0,9.78E+12,,by Clive Cussler and Dirk Cussler,12/18/16,ODESSA SEA,0,1
Minotaur,0,,Louise Penny,1250022126,0,9.78E+12,,by Louise Penny,12/11/16,A GREAT RECKONING,0,3
Morrow,0,,Patricia Cornwell,62436686,0,9.78E+12,,by Patricia Cornwell,12/11/16,CHAOS,0,1
Bantam,0,,Janet Evanovich,345542975,0,9.78E+12,,by Janet Evanovich,12/11/16,TRICKY TWENTY-TWO,0,3
Simon & Schuster,0,,Mary Higgins Clark and Alafair Burke,1501108581,0,9.78E+12,,by Mary Higgins Clark and Alafair Burke,12/11/16,THE SLEEPING BEAUTY KILLER,0,4
Penguin Press,0,https://www.nytimes.com/2016/11/13/books/review/zadie-smith-swing-time.html,Zadie Smith,1594203989,0,9.78E+12,,by Zadie Smith,12/4/16,SWING TIME,0,1
Plain Jane,0,,Kristen Callihan,None,0,A00B01M23RUSL,,by Kristen Callihan,12/4/16,MANAGED,0,1
JKB,0,,K Bromberg,1942832036,0,9.78E+12,,by K. Bromberg,12/4/16,SWEET CHEEKS,0,1
Delacorte,0,,Danielle Steel,1101883855,0,9.78E+12,,by Danielle Steel,11/27/16,THE AWARD,0,1
Emily Bestler/Atria,0,,Kyle Mills,1476783489,0,9.78E+12,,by Kyle Mills,11/27/16,VINCE FLYNN: ORDER TO KILL,0,5
Rutherford,0,,Jana Aston,069252777X,0,9.78E+12,,by Jana Aston,11/27/16,WRONG,0,1
Anchor,0,https://www.nytimes.com/2013/05/13/books/inferno-by-dan-brown.html,Dan Brown,1101972971,0,9.78E+12,,by Dan Brown,11/27/16,INFERNO,0,1
Rutherford,0,,Jana Aston,998244414,0,9.78E+12,,by Jana Aston,11/27/16,TRUST,0,1
Harper/HarperCollins,0,https://www.nytimes.com/2016/09/18/books/review/ann-patchett-commonwealth.html,Ann Patchett,62491814,0,9.78E+12,,by Ann Patchett,11/20/16,COMMONWEALTH,0,1
"Farrar, Straus & Giroux",0,https://www.nytimes.com/2015/04/12/books/review/paul-beatty-sellout.html,Paul Beatty,1250083257,0,9.78E+12,https://www.nytimes.com/2015/04/12/books/review/12bkr-young.t.html,by Paul Beatty,11/20/16,THE SELLOUT,0,1
"Little, Brown",0,,Michael Connelly,1455524158,0,9.78E+12,,by Michael Connelly,11/20/16,THE CROSSING,0,1
Baen Books,0,,David Weber,None,0,9.78E+12,,by David Weber,11/20/16,SHADOW OF VICTORY,0,3
KT Publishing,0,,Katy Evans,997263636,0,9.78E+12,,by Katy Evans,11/20/16,MR. PRESIDENT,0,1
Grand Central,0,,Douglas Preston and Lincoln Child,1455536911,0,9.78E+12,,by Douglas Preston and Lincoln Child,11/13/16,THE OBSIDIAN CHAMBER,0,3
Scout,0,,Ruth Ware,1501132938,0,9.78E+12,,by Ruth Ware,11/13/16,THE WOMAN IN CABIN 10,0,5
Morrow,0,,Susan Wiggs,62425471,0,9.78E+12,,by Susan Wiggs,11/13/16,FAMILY TREE,0,1
Flip City Media,0,,C D Reiss,1942833288,0,9.78E+12,,by C. D. Reiss,11/13/16,MARRIAGE GAMES,0,1
Scribner,0,,M L Stedman,1451681763,0,9.78E+12,,by M. L. Stedman,11/6/16,THE LIGHT BETWEEN OCEANS,0,4
Dial,0,,Annie Barrows,812997840,0,9.78E+12,,by Annie Barrows,11/6/16,THE TRUTH ACCORDING TO US,0,5
"Little, Brown",0,https://www.nytimes.com/2016/10/09/books/review/maria-semple-today-will-be-different.html,Maria Semple,316403431,0,9.78E+12,,by Maria Semple,11/6/16,TODAY WILL BE DIFFERENT,0,4
Flatiron,0,,Mark Frost,1250075580,0,9.78E+12,,by Mark Frost,11/6/16,THE SECRET HISTORY OF TWIN PEAKS,0,6
CP Publishing,0,,Carly Phillips,1942288093,0,9.78E+12,,by Carly Phillips,10/30/16,GOING DOWN FAST,0,3
Kendall Ryan,0,,Kendall Ryan,None,0,A00B01L87ZZMG,,by Kendall Ryan,10/30/16,THE FIX UP,0,3
Gallery,0,,Christina Lauren,1501128000,0,9.78E+12,,by Christina Lauren,10/23/16,BEAUTIFUL,0,1
Knopf,0,https://www.nytimes.com/2016/09/25/books/review/carl-hiaasen-razor-girl.html,Carl Hiaasen,385349750,0,9.78E+12,,by Carl Hiaasen,10/23/16,RAZOR GIRL,0,1
St. Martin's,0,,Jeffrey Archer,1466867507,0,9.78E+12,,by Jeffrey Archer,10/23/16,COMETH THE HOUR,0,3
St. Martin's Griffin,0,,Diane Chamberlain,1250010721,0,9.78E+12,,by Diane Chamberlain,10/16/16,THE SILENT SISTER,0,3
Avon,0,,Tessa Dare,62349058,0,9.78E+12,,by Tessa Dare,10/16/16,DO YOU WANT TO START A SCANDAL,0,7
Avon,0,,Jill Shalvis,62448056,0,9.78E+12,,by Jill Shalvis,10/16/16,THE TROUBLE WITH MISTLETOE,0,4
HTJB,0,,Marie Force,1942295839,0,9.78E+12,,by Marie Force,10/16/16,SEX MACHINE,0,1
Morrow/HarperCollins,0,,Karin Slaughter,62430238,0,9.78E+12,,by Karin Slaughter,10/16/16,THE KEPT WOMAN,0,3
Putnam,0,,Clive Cussler and Robin Burcell,399183973,0,9.78E+12,,by Clive Cussler and Robin Burcell,10/9/16,PIRATE,0,1
EverAfter Romance,0,,Penelope Ward and Vi Keeland,1942215495,0,9.78E+12,,by Penelope Ward and Vi Keeland,10/9/16,PLAYBOY PILOT,0,1
Doubleday,0,,John Grisham,553393480,0,9.78E+12,,by John Grisham,10/9/16,ROGUE LAWYER,0,1
Delacorte,0,,Danielle Steel,425285375,0,9.78E+12,,by Danielle Steel,10/2/16,RUSHING WATERS,0,1
Grand Central,0,,Sandra Brown,1455581232,0,9.78E+12,,by Sandra Brown,10/2/16,STING,0,1
Penguin,0,,Jojo Moyes,143130153,0,9.78E+12,https://www.nytimes.com/2013/01/06/books/review/me-before-you-by-jojo-moyes.html,by Jojo Moyes,10/2/16,ME BEFORE YOU,0,3
Atria,0,,William Kent Krueger,1476749280,0,9.78E+12,,by William Kent Krueger,9/25/16,MANITOU CANYON,0,1
Morrow/HarperCollins,0,,Patricia Cornwell,62325426,0,9.78E+12,,by Patricia Cornwell,9/25/16,DEPRAVED HEART,0,1
Pamela Dorman/Viking,0,,Jojo Moyes,143108867,0,9.78E+12,,by Jojo Moyes,9/25/16,AFTER YOU,0,1
Knopf,0,https://www.nytimes.com/2016/09/04/books/review/the-nix-nathan-hill.html,Nathan Hill,1101946628,0,9.78E+12,,by Nathan Hill,9/18/16,THE NIX,0,1
Grand Central,0,,Nicholas Sparks,1455520624,0,9.78E+12,,by Nicholas Sparks,9/18/16,SEE ME,0,1
HarperCollins,0,,Jodi Picoult,61980242,0,9.78E+12,https://www.nytimes.com/1998/08/02/books/books-in-brief-fiction-060151.html,by Jodi Picoult,9/11/16,THE PACT,0,1
Fine Line,0,,Eva Natiello,,0,A00B00LAI2SV0,,by Eva Natiello,9/11/16,THE MEMORY BOX,0,3
Harper,0,,Daniel Silva,62320246,0,9.78E+12,,by Daniel Silva,9/4/16,THE BLACK WIDOW,0,3
Berkley,0,,Joanna Wylde,None,0,9.78E+12,,by Joanna Wylde,8/28/16,REAPER'S FIRE,0,3
Atria,0,,Colleen Hoover,1501110373,0,9.78E+12,,by Colleen Hoover,8/28/16,IT ENDS WITH US,0,4
Vi Keeland,0,,Vi Keeland,1942215460,0,9.78E+12,,by Vi Keeland,8/21/16,BOSSMAN,0,1
Blue Bolt,0,,Jasmine Walt,None,0,A00B01F3BYKTW,,by Jasmine Walt,8/21/16,MAGIC AND MAYHEM,0,3
Ballantine,0,,Emily Giffin,345546938,0,9.78E+12,,by Emily Giffin,8/14/16,FIRST COMES LOVE,0,3
Grand Central,0,https://www.nytimes.com/2016/06/05/books/review/noah-hawleys-before-the-fall.html,Noah Hawley,1455561800,0,9.78E+12,,by Noah Hawley,8/14/16,BEFORE THE FALL,0,3
Berkley,0,,Jane Green,None,0,9.78E+12,,by Jane Green,8/7/16,FALLING,0,1
BookShots,0,,James Patterson with Maxine Paetro,316360597,0,9.78E+12,,by James Patterson with Maxine Paetro,8/7/16,THE TRIAL,0,1
Waterhouse,0,,Helen Hardt,None,0,A00B01FWPZQRY,,by Helen Hardt,8/7/16,CRAVING,0,1
Emily Bestler/Atria,0,,Brad Thor,1476789371,0,9.78E+12,,by Brad Thor,7/31/16,FOREIGN AGENT,0,1
Del Rey,0,,Chuck Wendig,1101966947,0,9.78E+12,,by Chuck Wendig,7/31/16,LIFE DEBT: AFTERMATH,0,3
"Little, Brown",0,,Elin Hilderbrand,316375152,0,9.78E+12,,by Elin Hilderbrand,7/31/16,HERE'S TO US,0,4
"Little, Brown",0,,Michael Connelly,759525781,0,9.78E+12,,by Michael Connelly,7/31/16,THE BLACK ICE,0,3
Morrow,0,,Laura Lippman,61796786,0,9.78E+12,,by Laura Lippman,7/24/16,WHAT THE DEAD KNOW,0,4
EverAfter Romance,0,,Alessandra Torre,1940941776,0,9.78E+12,,by Alessandra Torre,7/24/16,MOONSHOT,0,1
Bantam,0,,George R R Martin,553897845,0,9.78E+12,,by George R. R. Martin,7/24/16,A GAME OF THRONES,0,4
BAAE,0,,Corinne Michaels,1942834187,0,9.78E+12,,by Corinne Michaels,7/24/16,SAY YOU'LL STAY,0,4
Avon Impulse,0,,Eloisa James,62573063,0,9.78E+12,,by Eloisa James,7/17/16,A GENTLEMAN NEVER TELLS,0,4
"Little, Brown",0,,James Patterson,316317144,0,9.78E+12,,by James Patterson,7/17/16,CROSS KILL,0,1
Dutton,0,,Brad Taylor,None,0,9.78E+12,,by Brad Taylor,7/17/16,GHOSTS OF WAR,0,3
Avon,0,,Jill Shalvis,006244803X,0,9.78E+12,,by Jill Shalvis,7/17/16,SWEET LITTLE LIES,0,3
HQN,0,,Raeanne Thayne,373789831,0,9.78E+12,,by Raeanne Thayne,7/10/16,RIVERBEND ROAD,0,1
"Little, Brown",0,,James Patterson and Maxine Paetro,031629005X,0,9.78E+12,,by James Patterson and Maxine Paetro,7/10/16,15TH AFFAIR,0,1
St. Martin's,0,,Sherrilyn Kenyon,125008282X,0,9.78E+12,,by Sherrilyn Kenyon,7/10/16,BORN OF LEGEND,0,3
Putnam,0,,Clive Cussler and Boyd Morrison,399175962,0,9.78E+12,,by Clive Cussler and Boyd Morrison,7/3/16,THE EMPEROR'S REVENGE,0,4
Putnam,0,,Nora Roberts,515154121,0,9.78E+12,,by Nora Roberts,7/3/16,THE COLLECTOR,0,1
Scribner,0,https://www.nytimes.com/2016/06/19/books/review/barkskins-by-annie-proulx.html,Annie Proulx,743288785,0,9.78E+12,,by Annie Proulx,7/3/16,BARKSKINS,0,1
DLZ Entertainment,0,,Lexi Blake,1937608514,0,9.78E+12,,by Lexi Blake,7/3/16,DOMINANCE NEVER DIES,0,3
Avon,0,,Lisa Kleypas,62371851,0,9.78E+12,,by Lisa Kleypas,6/26/16,MARRYING WINTERBORNE,0,1
Morrow/HarperCollins,0,,Stephanie Dray and Laura Kamoie,62347276,0,9.78E+12,,by Stephanie Dray and Laura Kamoie,6/26/16,AMERICA'S FIRST DAUGHTER,0,4
Morrow/HarperCollins,0,,Dorothea Benton Frank,62390759,0,9.78E+12,,by Dorothea Benton Frank,6/26/16,ALL SUMMER LONG,0,3
Crown/Archetype,0,https://www.nytimes.com/2016/07/03/books/review/terry-mcmillan-i-almost-forgot-about-you.html,Terry McMillan,1101902574,0,9.78E+12,,by Terry McMillan,6/26/16,I ALMOST FORGOT ABOUT YOU,0,5
Ballantine,0,,Nancy Thayer,1101967064,0,9.78E+12,,by Nancy Thayer,6/19/16,THE ISLAND HOUSE,0,3
Riverhead,0,https://www.nytimes.com/2016/06/05/books/review/emma-straubs-modern-lovers.html,Emma Straub,None,0,9.78E+12,,by Emma Straub,6/19/16,MODERN LOVERS,0,1
Ballantine,0,,Tess Gerritsen,345449436,0,9.78E+12,,by Tess Gerritsen,6/19/16,THE SURGEON,0,1
Morrow/HarperCollins,0,,Joe Hill,62200631,0,9.78E+12,,by Joe Hill,6/12/16,THE FIREMAN,0,1
HTJB,0,,Marie Force,1942295502,0,9.78E+12,,by Marie Force,6/12/16,DESIRE AFTER DARK,0,3
Knopf,0,https://www.nytimes.com/2016/05/29/books/review/sweetbitter-by-stephanie-danler.html,Stephanie Danler,110187595X,0,9.78E+12,,by Stephanie Danler,6/12/16,SWEETBITTER,0,1
Minotaur,0,,Nevada Barr,1466870931,0,9.78E+12,,by Nevada Barr,6/5/16,BOAR ISLAND,0,1
Morrow,0,,Steve Martini,62328972,0,9.78E+12,,by Steve Martini,6/5/16,BLOOD FLAG,0,1
Putnam,0,,Steve Hamilton,399574336,0,9.78E+12,,by Steve Hamilton,6/5/16,THE SECOND LIFE OF NICK MASON,0,6
Random House,0,https://www.nytimes.com/2016/05/01/books/review/eligible-curtis-sittenfelds-update-of-jane-austen.html,Curtis Sittenfeld,812997611,0,9.78E+12,,by Curtis Sittenfeld,5/29/16,ELIGIBLE,0,1
"Little, Brown",0,,James Patterson and Maxine Paetro,1455584983,0,9.78E+12,,by James Patterson and Maxine Paetro,5/29/16,14TH DEADLY SIN,0,3
Harper,0,https://www.nytimes.com/2016/05/22/books/review/larose-by-louise-erdrich.html,Louise Erdrich,62277022,0,9.78E+12,,by Louise Erdrich,5/29/16,LAROSE,0,1
Bantam,0,,Janet Evanovich and Lee Goldberg,345543068,0,9.78E+12,,by Janet Evanovich and Lee Goldberg,5/22/16,THE HEIST,0,1
Ace,0,,Charlaine Harris,1101598832,0,9.78E+12,,by Charlaine Harris,5/22/16,NIGHT SHIFT,0,1
Simon & Schuster,0,,Mary Higgins Clark,1501130447,0,9.78E+12,,by Mary Higgins Clark,5/22/16,AS TIME GOES BY,0,4
Morrow,0,,Shelley Noble,62319183,0,9.78E+12,,by Shelley Noble,5/15/16,WHISPER BEACH,0,1
Thomas Nelson,0,,Rachel Hauck,1401686311,0,9.78E+12,,by Rachel Hauck,5/15/16,THE WEDDING DRESS,0,3
Mira,0,,Stephanie Laurens,1459294033,0,9.78E+12,,by Stephanie Laurens,5/15/16,A BUCCANEER AT HEART,0,4
Delacorte,0,,Lee Child,804178798,0,9.78E+12,,by Lee Child,5/8/16,MAKE ME,0,1
Crown,0,,Andy Weir,None,0,9.78E+12,,by Andy Weir,5/8/16,THE MARTIAN,0,1
Morrow,0,,James Rollins and Grant Blackwood,62135309,0,9.78E+12,,by James Rollins and Grant Blackwood,5/8/16,WAR HAWK,0,1
Putnam,0,,Stuart Woods,None,0,9.78E+12,,by Stuart Woods,5/1/16,FAMILY JEWELS,0,1
Random House,0,https://www.nytimes.com/2016/04/03/books/review/millers-valley-by-anna-quindlen.html,Anna Quindlen,812996089,0,9.78E+12,,by Anna Quindlen,5/1/16,MILLER'S VALLEY,0,3
Doubleday,0,,John Grisham,385541929,0,9.78E+12,,by John Grisham,5/1/16,PARTNERS,0,1
Berkley,0,,Jennifer Ashley,None,0,9.78E+12,,by Jennifer Ashley,4/24/16,WHITE TIGER,0,1
Bantam,0,,Laurie R King,804177910,0,9.78E+12,,by Laurie R. King,4/24/16,THE MURDER OF MARY RUSSELL,0,5
Avon,0,,Julia Quinn,62388150,0,9.78E+12,,by Julia Quinn,4/24/16,BECAUSE OF MISS BRIDGERTON,0,4
Kensington,0,,Fern Michaels,1617734616,0,9.78E+12,,by Fern Michaels,4/17/16,NO SAFE SECRET,0,3
Delacorte,0,,Danielle Steel,804179662,0,9.78E+12,,by Danielle Steel,4/17/16,PROPERTY OF A NOBLEWOMAN,0,4
Avon Impulse,0,,Linda Howard,006242226X,0,9.78E+12,,by Linda Howard,4/10/16,HEARTBREAKER,0,1
"Little, Brown",0,https://www.nytimes.com/2010/09/13/books/13book.html,Emma Donoghue,316098329,0,9.78E+12,https://www.nytimes.com/2010/09/19/books/review/Bender-t.html,by Emma Donoghue,4/10/16,ROOM,0,1
Grand Central,0,,David Baldacci,1455559806,0,9.78E+12,,by David Baldacci,4/10/16,MEMORY MAN,0,1